"노선","기종점","순번","정류장명","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X0","X1","X2","X3"
104,"선일교통(가상) - 선일교통종점(가상)",1,"선일교통(가상)",0,0,0,0.2,0,0.4,0,0.2,1.8,0.2,0,0.8,0,0.2,0,0,0,0,0.2,0,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",2,"강북청소년수련관",7.6,1.6,2.4,6.4,5,3.6,3.4,7.2,3.6,3.4,4.4,4.6,6.4,6.2,7.8,5,4,2.4,0.8,0.2,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",3,"무량사입구",12.4,1.6,2,10,7,5.8,5.6,7.6,4.4,2.8,5,6,7.4,6.6,7.8,6.2,5.8,2.2,1.2,0.2,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",4,"국립4.19민주묘지",15.4,2.6,2.8,10.8,9.2,6,3.8,8.4,4.6,5.8,7.8,7.8,9.4,6.6,7.6,6.6,4,2.2,1.6,0.4,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",5,"국립4.19민주묘지입구사거리",23,3.8,4.8,14.2,10.2,7.4,5.4,8.4,6.2,5.8,8.2,6.6,9.6,7.2,10,6.2,4.6,3,1.4,0.8,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",6,"인수동장미원",26.2,6.4,9.4,19.8,16.2,11.2,7,10.8,7,8.4,9.4,8.4,10.4,9.2,12,7.6,5.4,3.8,2.6,0.8,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",7,"가오리역",30.6,9,10,22.2,20.2,14,9,13,8.2,8.4,11.2,9.2,11.8,11.6,12.6,8.2,7.2,5.6,4.4,1.8,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",8,"우이초등학교",31.8,11.2,12.6,30.2,25.4,16,10.2,13,12.2,10,10.6,11.8,13,13.6,14.6,9.4,5.8,4.8,2.8,1,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",9,"수유보건지소",31.6,12,14.4,31.2,25.6,16.6,12.2,14,10,11,11.8,10,14,11.8,13.8,8.4,7,5.8,3.2,1.6,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",10,"빨래골입구.수유1동주민센터",35,16,18.8,35,28.4,21.4,14,16.4,12.6,13.8,13.6,11.2,16.4,15.4,16,9.6,5.4,6,5.4,2.4,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",11,"롯데마트삼양점.래미안1차아파트",38.8,17.6,19.6,35,30.2,22.6,14.6,17,13.8,13.6,13.8,12.8,15.4,15.6,16.4,11,7.2,5.8,4.8,3,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",12,"삼양초등학교",40.6,19.6,20.4,36.6,30.6,23,15,16.2,12.6,11.4,12.2,14.4,15.8,15.6,16.4,11,5.2,4.4,2.6,2.6,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",13,"강북청소년문화정보도서관입구",36.2,21,22.2,39.4,30.8,24.8,16,17,14,14,12.6,12.4,16.4,15.8,16.4,12.2,8.2,6.6,5,4,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",14,"삼양동사거리",45.2,22.6,24.6,39.2,35.6,28.2,18.4,17.2,17.2,16.4,14.2,14.2,16.2,15.4,17.8,12.8,10,7,7.6,5.6,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",15,"송천초등학교.미아뉴타운입구",43.6,24.8,27.4,40.6,37.6,31.8,20.2,18.8,17.4,17,15.2,13.2,18.4,16.6,17.8,11.6,9.6,7.4,5.8,4.8,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",16,"미아초교",45.6,26.4,30.6,49.4,41.8,36.8,24.2,21.4,20,19,16.2,16.6,19.4,17.2,17,11.8,9.6,8.4,8.2,4.4,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",17,"길음동동부아파트",48,28.6,30.8,47.8,43.6,38.2,26,23,21.6,21.4,17.2,16.8,20.8,17.2,17.6,11,8.4,8,9,3.4,0,0,0,0
104,"선일교통(가상) - 선일교통종점(가상)",18,"길음뉴타운",47.6,28.6,26.2,47.4,50,36.2,25,23,18.6,20,15.8,14.2,17.6,16.2,18.2,12.4,7,8.4,8,5.2,0,0,0,0
